Station,Year,Month,Day,Night,DayLimit,NightLimit,Name,City,State,Type
BEN01,2011,2,66.0,56.0,55,45,BTM,Bengaluru,Karnataka,Residential
BEN01,2011,3,66.0,58.0,55,45,BTM,Bengaluru,Karnataka,Residential
BEN01,2011,4,66.0,57.0,55,45,BTM,Bengaluru,Karnataka,Residential
BEN01,2011,5,66.0,56.0,55,45,BTM,Bengaluru,Karnataka,Residential
BEN01,2011,6,67.0,57.0,55,45,BTM,Bengaluru,Karnataka,Residential
BEN01,2011,7,67.0,57.0,55,45,BTM,Bengaluru,Karnataka,Residential
BEN01,2011,8,67.0,59.0,55,45,BTM,Bengaluru,Karnataka,Residential
BEN01,2011,9,66.0,56.0,55,45,BTM,Bengaluru,Karnataka,Residential
BEN01,2011,10,66.0,56.0,55,45,BTM,Bengaluru,Karnataka,Residential
BEN01,2011,11,66.0,56.0,55,45,BTM,Bengaluru,Karnataka,Residential
BEN01,2011,12,67.0,58.0,55,45,BTM,Bengaluru,Karnataka,Residential
BEN02,2011,2,56.0,52.0,65,55,Marathahalli,Bengaluru,Karnataka,Commercial
BEN02,2011,3,57.0,52.0,65,55,Marathahalli,Bengaluru,Karnataka,Commercial
BEN02,2011,4,56.0,52.0,65,55,Marathahalli,Bengaluru,Karnataka,Commercial
BEN02,2011,5,57.0,53.0,65,55,Marathahalli,Bengaluru,Karnataka,Commercial
BEN02,2011,6,59.0,54.0,65,55,Marathahalli,Bengaluru,Karnataka,Commercial
BEN02,2011,7,60.0,56.0,65,55,Marathahalli,Bengaluru,Karnataka,Commercial
BEN02,2011,8,58.0,58.0,65,55,Marathahalli,Bengaluru,Karnataka,Commercial
BEN02,2011,9,55.0,54.0,65,55,Marathahalli,Bengaluru,Karnataka,Commercial
BEN02,2011,10,54.0,53.0,65,55,Marathahalli,Bengaluru,Karnataka,Commercial
BEN02,2011,11,55.0,53.0,65,55,Marathahalli,Bengaluru,Karnataka,Commercial
BEN02,2011,12,55.0,53.0,65,55,Marathahalli,Bengaluru,Karnataka,Commercial
BEN03,2011,2,64.0,51.0,55,45,Nisarga Bhawan,Bengaluru,Karnataka,Residential
BEN03,2011,3,53.0,46.0,55,45,Nisarga Bhawan,Bengaluru,Karnataka,Residential
BEN03,2011,4,54.0,47.0,55,45,Nisarga Bhawan,Bengaluru,Karnataka,Residential
BEN03,2011,5,56.0,48.0,55,45,Nisarga Bhawan,Bengaluru,Karnataka,Residential
BEN03,2011,6,60.0,51.0,55,45,Nisarga Bhawan,Bengaluru,Karnataka,Residential
BEN03,2011,7,59.0,48.0,55,45,Nisarga Bhawan,Bengaluru,Karnataka,Residential
BEN03,2011,8,58.0,48.0,55,45,Nisarga Bhawan,Bengaluru,Karnataka,Residential
BEN03,2011,9,57.0,48.0,55,45,Nisarga Bhawan,Bengaluru,Karnataka,Residential
BEN03,2011,10,55.0,47.0,55,45,Nisarga Bhawan,Bengaluru,Karnataka,Residential
BEN03,2011,11,55.0,47.0,55,45,Nisarga Bhawan,Bengaluru,Karnataka,Residential
BEN03,2011,12,55.0,46.0,55,45,Nisarga Bhawan,Bengaluru,Karnataka,Residential
BEN04,2011,2,65.0,58.0,65,55,Parisar Bhawan,Bengaluru,Karnataka,Commercial
BEN04,2011,3,65.0,58.0,65,55,Parisar Bhawan,Bengaluru,Karnataka,Commercial
BEN04,2011,4,65.0,58.0,65,55,Parisar Bhawan,Bengaluru,Karnataka,Commercial
BEN04,2011,5,65.0,58.0,65,55,Parisar Bhawan,Bengaluru,Karnataka,Commercial
BEN04,2011,6,68.0,57.0,65,55,Parisar Bhawan,Bengaluru,Karnataka,Commercial
BEN04,2011,7,68.0,57.0,65,55,Parisar Bhawan,Bengaluru,Karnataka,Commercial
BEN04,2011,8,66.0,58.0,65,55,Parisar Bhawan,Bengaluru,Karnataka,Commercial
BEN04,2011,9,66.0,57.0,65,55,Parisar Bhawan,Bengaluru,Karnataka,Commercial
BEN04,2011,10,67.0,59.0,65,55,Parisar Bhawan,Bengaluru,Karnataka,Commercial
BEN04,2011,11,68.0,59.0,65,55,Parisar Bhawan,Bengaluru,Karnataka,Commercial
BEN04,2011,12,67.0,59.0,65,55,Parisar Bhawan,Bengaluru,Karnataka,Commercial
BEN05,2011,2,58.0,59.0,75,70,Peeniya,Bengaluru,Karnataka,Industrial
BEN05,2011,3,56.0,55.0,75,70,Peeniya,Bengaluru,Karnataka,Industrial
BEN05,2011,4,54.0,51.0,75,70,Peeniya,Bengaluru,Karnataka,Industrial
BEN05,2011,5,55.0,52.0,75,70,Peeniya,Bengaluru,Karnataka,Industrial
BEN05,2011,6,54.0,51.0,75,70,Peeniya,Bengaluru,Karnataka,Industrial
BEN05,2011,7,57.0,53.0,75,70,Peeniya,Bengaluru,Karnataka,Industrial
BEN05,2011,8,59.0,55.0,75,70,Peeniya,Bengaluru,Karnataka,Industrial
BEN05,2011,9,57.0,56.0,75,70,Peeniya,Bengaluru,Karnataka,Industrial
BEN05,2011,10,56.0,56.0,75,70,Peeniya,Bengaluru,Karnataka,Industrial
BEN05,2011,11,57.0,76.0,75,70,Peeniya,Bengaluru,Karnataka,Industrial
BEN05,2011,12,56.0,49.0,75,70,Peeniya,Bengaluru,Karnataka,Industrial
CHE01,2011,2,65.0,50.0,50,40,Eye Hospital,Chennai,Tamil Nadu,Silence
CHE01,2011,3,64.0,51.0,50,40,Eye Hospital,Chennai,Tamil Nadu,Silence
CHE01,2011,4,65.0,52.0,50,40,Eye Hospital,Chennai,Tamil Nadu,Silence
CHE01,2011,5,64.0,53.0,50,40,Eye Hospital,Chennai,Tamil Nadu,Silence
CHE01,2011,6,64.0,53.0,50,40,Eye Hospital,Chennai,Tamil Nadu,Silence
CHE01,2011,7,64.0,53.0,50,40,Eye Hospital,Chennai,Tamil Nadu,Silence
CHE01,2011,8,64.0,53.0,50,40,Eye Hospital,Chennai,Tamil Nadu,Silence
CHE01,2011,9,63.0,52.0,50,40,Eye Hospital,Chennai,Tamil Nadu,Silence
CHE01,2011,10,64.0,51.0,50,40,Eye Hospital,Chennai,Tamil Nadu,Silence
CHE01,2011,11,63.0,50.0,50,40,Eye Hospital,Chennai,Tamil Nadu,Silence
CHE01,2011,12,64.0,51.0,50,40,Eye Hospital,Chennai,Tamil Nadu,Silence
CHE02,2011,2,77.0,72.0,75,70,Guindy,Chennai,Tamil Nadu,Industrial
CHE02,2011,3,77.0,74.0,75,70,Guindy,Chennai,Tamil Nadu,Industrial
CHE02,2011,4,76.0,71.0,75,70,Guindy,Chennai,Tamil Nadu,Industrial
CHE02,2011,5,76.0,72.0,75,70,Guindy,Chennai,Tamil Nadu,Industrial
CHE02,2011,6,76.0,72.0,75,70,Guindy,Chennai,Tamil Nadu,Industrial
CHE02,2011,7,76.0,72.0,75,70,Guindy,Chennai,Tamil Nadu,Industrial
CHE02,2011,8,76.0,72.0,75,70,Guindy,Chennai,Tamil Nadu,Industrial
CHE02,2011,9,76.0,72.0,75,70,Guindy,Chennai,Tamil Nadu,Industrial
